0 data/Character_Ninja_Black_14.obj data/texture_samurai.tga -0.350,0.000,-1.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0
1 data/monster/zombie.obj data/monster/zomtex/diffuse.png 0.000,0.000,0.500 0.000,0.000,0.000 0.1015,0.1015,0.1015 0
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -0.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -0.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -0.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -1.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -1.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -1.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,1.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,1.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,1.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,0.800 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,0.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,0.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,0.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,-0.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 0.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 0.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 1.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 1.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 1.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 1.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,1.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,1.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,1.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,0.800 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,0.550 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,0.300 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,0.050 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga 4.150,0.000,-0.200 0.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Env_Bamboo_Group_01_38.obj data/texture_samurai.tga 0.750,0.000,1.100 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bamboo_Group_02_76.obj data/texture_samurai.tga 0.700,0.000,0.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bamboo_Group_03_40.obj data/texture_samurai.tga 0.750,0.000,0.600 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Fuji_01_69.obj data/texture_samurai.tga 0.000,0.000,-50.000 0.000,0.000,0.000 0.400,0.600,0.400 0 0 
2 data/SM_Env_Archway_01_23.obj data/texture_samurai.tga 0.000,0.000,0.350 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga -0.200,0.000,0.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga -0.250,0.000,0.350 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga -0.150,0.000,0.450 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga 0.150,0.000,0.450 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_01_7.obj data/texture_samurai.tga 0.250,0.000,0.350 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Tulips_02_2.obj data/texture_samurai.tga 0.200,0.000,0.400 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,0.550 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.000,-0.010,0.800 15.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,1.000 -60.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,1.250 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_03_49.obj data/texture_samurai.tga 0.000,-0.010,1.470 15.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_SteppingStone_04_71.obj data/texture_samurai.tga 0.000,-0.010,1.650 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -1.900,0.000,1.850 -90.126,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -2.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -2.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -2.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -2.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.150,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.400,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.650,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_Wall_01_11.obj data/texture_samurai.tga -3.900,0.000,1.850 -90.000,0.000,0.000 0.100,0.200,0.100 0 0 
2 data/SM_Bld_BridgeCover_01_23.obj data/texture_samurai.tga -2.000,0.000,-1.900 0.000,0.000,0.000 0.100,0.140,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -2.100,-0.250,-1.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga -2.100,-0.250,-1.650 180.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga -1.900,-0.250,-1.650 180.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga -2.100,-0.250,-2.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_02_0.obj data/texture_samurai.tga -1.900,-0.250,-2.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga -1.900,-0.250,-2.150 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 1.900,-0.250,-1.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
2 data/SM_Env_Bridge_01_60.obj data/texture_samurai.tga 2.100,-0.250,-1.900 0.000,0.000,0.000 0.100,0.100,0.100 0 0 
